sigma0,broken_L2_rel
0,0.00569461
0.5510204081632653,0.00632073
1.102040816326531,0.0419876
1.653061224489796,0.0142337
2.204081632653061,0.0148998
2.755102040816326,6.83062
3.306122448979592,0.0161721
3.857142857142857,0.0900599
4.408163265306122,0.0611038
4.959183673469387,0.0072264
5.510204081632653,0.0145831
6.061224489795918,0.00401505
6.612244897959183,0.00263945
7.163265306122448,0.00211155
7.714285714285714,0.00179236
8.26530612244898,0.00156933
8.816326530612244,0.00140198
9.367346938775508,0.00127075
9.918367346938775,0.00116468
10.46938775510204,0.00107696
11.02040816326531,0.00100312
11.57142857142857,0.000940049
12.12244897959184,0.000885536
12.6734693877551,0.000837939
13.22448979591837,0.000796018
13.77551020408163,0.000758817
14.3265306122449,0.0007255850000000001
14.87755102040816,0.000695723
15.42857142857143,0.00066875
15.97959183673469,0.00064427
16.53061224489796,0.0006219590000000001
17.08163265306122,0.000601545
17.63265306122449,0.000582802
18.18367346938775,0.0005655359999999999
18.73469387755102,0.000549584
19.28571428571428,0.0005348040000000001
19.83673469387755,0.000521077
20.38775510204081,0.000508296
20.93877551020408,0.00049637
21.48979591836735,0.000485219
22.04081632653061,0.000474771
22.59183673469387,0.000464966
23.14285714285714,0.000455747
23.69387755102041,0.000447066
24.24489795918367,0.000438878
24.79591836734694,0.000431145
25.3469387755102,0.000423831
25.89795918367347,0.000416904
26.44897959183673,0.000410336
27,0.000404101
